sex,age,grade,label,entr_diagnost,entr_induccion,entr_regulariz,max_nivel_esp,family number,man,woman,x<30,pc,laptop,tv_plana,tablet,smartphone,InternetF,sIF_causa
1,21,0,0,0,0,0,0,6,4,2,1,2,2,2,2,1,2,6
1,23,9,1,2,1,2,0,6,4,2,1,2,2,2,2,1,2,6
2,26,0,0,0,0,0,0,2,1,1,1,2,1,1,2,1,2,7
1,26,9,2,0,0,0,0,2,1,1,1,2,1,1,2,1,2,7
1,12,3,1,1,1,1,8,3,2,1,1,2,2,1,1,1,1,0
2,21,9,1,1,1,1,0,4,2,2,1,2,1,1,2,1,1,0
1,9,3,1,1,1,2,7,3,2,1,1,2,1,1,1,1,1,0
1,18,7,1,1,1,2,0,4,3,1,1,2,1,1,1,1,1,0
1,12,3,1,1,2,2,8,4,3,1,1,2,1,1,1,1,1,0
1,22,0,0,1,1,2,0,4,3,1,1,2,2,1,2,1,1,0
1,24,0,0,0,0,0,0,4,3,1,1,2,2,1,2,1,1,0
1,1,0,0,0,0,0,0,4,3,1,1,2,1,1,2,1,1,0
1,5,2,1,2,2,2,8,4,3,1,1,2,1,1,2,1,1,0
2,0,0,0,0,0,0,0,7,2,5,1,2,2,1,2,1,1,0
2,10,3,1,2,2,2,7,7,2,5,1,2,2,1,2,1,1,0
2,6,3,1,2,2,2,7,7,2,5,1,2,2,1,2,1,1,0
1,25,0,0,0,0,0,0,4,2,2,1,2,2,1,2,1,1,0
2,21,0,0,1,1,2,0,4,2,2,1,2,2,1,2,1,1,0
1,23,9,1,0,0,0,0,4,2,2,1,2,2,1,2,1,1,0
2,20,0,0,0,0,0,0,3,1,2,1,2,1,1,2,1,1,0
1,15,0,0,0,0,0,0,2,1,1,1,2,2,2,2,1,1,0
2,12,3,1,1,2,2,8,5,1,4,1,2,1,1,1,1,1,0
2,5,2,1,1,1,2,7,5,1,4,1,2,1,1,1,1,1,0
2,8,3,1,1,1,2,8,5,1,4,1,2,1,1,1,1,1,0
2,14,4,1,1,2,1,7,4,1,3,1,2,1,1,2,1,1,0
2,24,0,0,0,0,0,0,4,1,3,1,2,1,1,2,1,1,0
1,26,0,0,0,0,0,0,4,1,3,1,2,1,1,2,1,1,0
1,10,3,1,1,2,1,8,3,2,1,1,1,1,1,2,1,1,0
2,16,0,0,1,1,1,7,5,1,4,1,1,1,1,2,1,1,0
2,3,0,0,0,0,0,0,5,1,4,1,1,1,1,2,1,1,0
2,7,3,1,2,2,2,7,3,1,2,1,1,2,1,2,1,1,0
2,24,9,1,1,2,2,0,2,1,1,1,2,2,2,2,2,1,0
1,29,0,0,0,0,0,0,2,1,1,1,2,2,2,2,2,1,0
1,23,0,0,0,0,0,0,3,2,1,1,2,2,1,2,1,1,0
2,19,0,0,0,0,0,0,3,2,1,1,2,2,1,2,1,1,0
1,0,0,0,0,0,0,0,3,2,1,1,2,2,1,2,1,1,0
1,21,0,0,0,0,0,0,5,2,3,1,2,2,1,2,1,1,0
2,17,0,0,0,0,0,0,5,2,3,1,2,2,1,2,1,1,0
1,14,4,1,2,2,2,9,5,2,3,1,2,2,1,2,1,1,0
1,20,9,1,1,9,9,0,3,2,1,1,2,1,1,1,1,1,0
1,11,3,1,2,2,2,8,4,2,2,1,2,2,1,1,1,1,0
2,5,2,1,2,2,2,8,4,2,2,1,2,2,1,1,1,1,0
1,29,0,0,0,0,0,0,1,1,0,1,2,2,1,2,1,1,0
1,15,4,1,9,1,9,7,3,2,1,1,2,1,1,2,1,1,0
1,8,3,1,1,2,2,7,4,2,2,1,1,2,1,2,1,1,0
2,15,4,1,1,1,2,7,4,2,2,1,1,2,1,2,1,1,0
1,2,0,0,0,0,0,0,4,2,2,1,2,1,1,1,1,1,0
2,11,3,1,1,2,2,7,4,1,3,1,1,1,1,1,1,1,0
1,14,4,1,1,2,2,7,4,2,2,1,2,2,2,2,2,1,0
1,7,0,0,0,0,0,0,4,2,2,1,2,2,2,2,2,1,0
1,5,2,1,1,1,1,7,6,5,1,1,2,2,1,1,1,2,1
1,6,2,1,1,1,1,7,6,5,1,1,2,2,1,1,1,2,1
